,Survey_Date,State_FIPS,County_FIPS,Region_Code,Division_Code,County_Name,1_unit_Bldgs,1_unit_Units,1_unit_Value,2_units_Bldgs,2_units_Units,2_units_Value,3-4_units_Bldgs,3-4_units_Units,3-4_units_Value,5+_units_Bldgs,5+_units_Units,5+_units_Value,1_unit_rep_Bldgs,1_unit_rep_Units,1_unit_rep_Value,2_units_rep_Bldgs,2_units_rep_Units,2_units_rep_Value,3-4_units_rep_Bldgs,3-4_units_rep_Units,3-4_units_rep_Value,5+units_rep_Bldgs,5+units_rep_Units,5+units_rep_Value
114,201612,12,109,3,5,St. Johns County              ,3473,3473,892350032,1,2,652000,10,40,7996426,13,150,22101137,3450,3450,886387760,1,2,652000,10,40,7996426,13,150,22101137
115,201612,12,113,3,5,Santa Rosa County             ,1417,1417,212626601,0,0,0,0,0,0,0,0,0,1417,1417,212626601,0,0,0,0,0,0,0,0,0
116,201612,12,115,3,5,Sarasota County               ,2857,2857,831614339,9,18,4602416,15,60,12780381,36,1001,148210353,2857,2857,831614339,9,18,4602416,15,60,12780381,36,1001,148210353
117,201612,12,117,3,5,Seminole County               ,859,859,292036431,8,16,2105048,1,4,528000,68,2153,195709223,857,857,291768466,8,16,2105048,1,4,528000,67,2132,194354201
118,201612,12,129,3,5,Wakulla County                ,169,169,26595611,0,0,0,0,0,0,0,0,0,169,169,26595611,0,0,0,0,0,0,0,0,0
119,201612,12,131,3,5,Walton County                 ,1395,1395,568093525,1,2,279482,0,0,0,12,295,53342505,1395,1395,568093525,1,2,279482,0,0,0,12,295,53342505
120,201612,12,133,3,5,Washington County             ,46,46,6695279,0,0,0,0,0,0,0,0,0,40,40,5716403,0,0,0,0,0,0,0,0,0
121,201612,13,7,3,5,Baker County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,201612,13,13,3,5,Barrow County                 ,371,371,52999182,0,0,0,0,0,0,2,10,984376,347,347,50417106,0,0,0,0,0,0,0,0,0
123,201612,13,15,3,5,Bartow County                 ,514,514,84787438,0,0,0,0,0,0,0,0,0,500,500,81654021,0,0,0,0,0,0,0,0,0
124,201612,13,21,3,5,Bibb County                   ,89,89,14938401,0,0,0,0,0,0,0,0,0,89,89,14938401,0,0,0,0,0,0,0,0,0
125,201612,13,29,3,5,Bryan County                  ,416,416,87178618,0,0,0,0,0,0,5,26,2133332,293,293,68743292,0,0,0,0,0,0,0,0,0
126,201612,13,33,3,5,Burke County                  ,50,50,8950228,0,0,0,0,0,0,0,0,0,29,29,5299000,0,0,0,0,0,0,0,0,0
127,201612,13,35,3,5,Butts County                  ,50,50,7627700,0,0,0,0,0,0,0,0,0,50,50,7627700,0,0,0,0,0,0,0,0,0
128,201612,13,45,3,5,Carroll County                ,266,266,58545788,0,0,0,6,18,1467306,0,0,0,266,266,58545788,0,0,0,6,18,1467306,0,0,0
129,201612,13,51,3,5,Chatham County                ,780,780,194149166,4,8,713744,0,0,0,10,170,12915000,780,780,194149166,4,8,713744,0,0,0,10,170,12915000
130,201612,13,57,3,5,Cherokee County               ,2097,2097,560309353,4,8,870000,0,0,0,13,386,33633393,2097,2097,560309353,4,8,870000,0,0,0,13,386,33633393
131,201612,13,59,3,5,Clarke County                 ,115,115,22393562,0,0,0,1,4,255402,0,0,0,115,115,22393562,0,0,0,1,4,255402,0,0,0
132,201612,13,63,3,5,Clayton County                ,560,560,126783041,0,0,0,0,0,0,0,0,0,558,558,126584781,0,0,0,0,0,0,0,0,0
133,201612,13,67,3,5,Cobb County                   ,1654,1654,469180963,5,10,1778203,18,68,16847469,46,2285,238816095,1654,1654,469180963,5,10,1778203,18,68,16847469,46,2285,238816095
134,201612,13,73,3,5,Columbia County               ,1220,1220,228296116,0,0,0,15,60,2720000,0,0,0,1116,1116,210683300,0,0,0,15,60,2720000,0,0,0
135,201612,13,77,3,5,Coweta County                 ,855,855,289209928,7,14,1548848,4,12,1150268,1,94,10813831,823,823,282081893,7,14,1548848,4,12,1150268,1,94,10813831
136,201612,13,85,3,5,Dawson County                 ,272,272,53313261,0,0,0,0,0,0,8,220,16757000,269,269,53022836,0,0,0,0,0,0,8,220,16757000
137,201612,13,95,3,5,Dougherty County              ,32,32,4743524,0,0,0,2,8,360000,6,46,4633432,32,32,4743524,0,0,0,2,8,360000,6,46,4633432
138,201612,13,97,3,5,Douglas County                ,382,382,84871410,0,0,0,0,0,0,0,0,0,382,382,84871410,0,0,0,0,0,0,0,0,0
139,201612,13,111,3,5,Fannin County                 ,261,261,52708102,0,0,0,0,0,0,0,0,0,261,261,52708102,0,0,0,0,0,0,0,0,0
140,201612,13,113,3,5,Fayette County                ,357,357,104188230,0,0,0,0,0,0,1,80,12779874,348,348,101124822,0,0,0,0,0,0,1,80,12779874
141,201612,13,117,3,5,Forsyth County                ,2741,2741,396928397,2,4,222760,1,4,244560,30,766,39663670,2741,2741,396928397,2,4,222760,1,4,244560,30,766,39663670
142,201612,13,121,3,5,Fulton County                 ,3281,3281,865200175,5,10,1267100,0,0,0,72,8120,1022954305,3234,3234,859151134,5,10,1267100,0,0,0,71,8115,1022932074
143,201612,13,127,3,5,Glynn County                  ,483,483,145811907,0,0,0,0,0,0,0,0,0,285,285,93584314,0,0,0,0,0,0,0,0,0
144,201612,13,135,3,5,Gwinnett County               ,3779,3779,592933338,1,2,143035,0,0,0,7,196,19923402,3730,3730,578993879,1,2,143035,0,0,0,7,196,19923402
145,201612,13,143,3,5,Haralson County               ,42,42,9239894,0,0,0,0,0,0,0,0,0,40,40,8788558,0,0,0,0,0,0,0,0,0
146,201612,13,145,3,5,Harris County                 ,180,180,42574720,0,0,0,0,0,0,0,0,0,180,180,42574720,0,0,0,0,0,0,0,0,0
147,201612,13,149,3,5,Heard County                  ,22,22,3866573,0,0,0,0,0,0,0,0,0,11,11,2506425,0,0,0,0,0,0,0,0,0
148,201612,13,151,3,5,Henry County                  ,1394,1394,279059721,0,0,0,0,0,0,1,60,7788479,1337,1337,271160700,0,0,0,0,0,0,1,60,7788479
149,201612,13,159,3,5,Jasper County                 ,62,62,8306388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,201612,13,171,3,5,Lamar County                  ,46,46,5483465,0,0,0,0,0,0,0,0,0,44,44,5183465,0,0,0,0,0,0,0,0,0
151,201612,13,177,3,5,Lee County                    ,121,121,14975206,0,0,0,0,0,0,0,0,0,121,121,14975206,0,0,0,0,0,0,0,0,0
152,201612,13,179,3,5,Liberty County                ,276,276,62839394,0,0,0,0,0,0,0,0,0,276,276,62839394,0,0,0,0,0,0,0,0,0
153,201612,13,189,3,5,McDuffie County               ,23,23,3408332,0,0,0,0,0,0,0,0,0,15,15,1994000,0,0,0,0,0,0,0,0,0
154,201612,13,199,3,5,Meriwether County             ,36,36,7893373,0,0,0,0,0,0,0,0,0,35,35,7823373,0,0,0,0,0,0,0,0,0
155,201612,13,201,3,5,Miller County                 ,1,1,250000,0,0,0,0,0,0,0,0,0,1,1,250000,0,0,0,0,0,0,0,0,0
